Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2015,04/26/2015,RACING INJURY,Aqueduct Racetrack (NYRA),After Finish,Racing,Thoroughbred,,Perchance,KIARAN P. MCLAUGHLIN,IRAD ORTIZ JR,Perchance-Tr. Kiaran McLaughlin-pulled up-ambulanced off-saucer fx LF cannon bone-retired to broodmare,
2015,04/26/2015,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/16 Pole,Racing,Thoroughbred,,Tatoo Me,DOODNAUTH SHIVMANGAL,ANDRE S. WORRIE,Tatoo Me-Tr. Doodnauth Shivmangel-fell-ambulanced off-Rider Andre Worrie-ambulanced off-treated and released-horse sustained and is being treated for bruised knees,Steward's List
2015,04/27/2015,RACING INJURY,Monticello Raceway & Mighty M Gaming,3/4 pole,Racing,Harness,,Early Morining,MEGAN M. GILMOUR,MICHAEL J. MERTON,Early Morning-Tr. Megan M. Gilmour-broke and stopped-ambulanced off-wrapped ankle and leg-xrays revealed fx R pastern-watch progress-hopefully retire to brood mare,Injury
2015,02/05/2015,FALL OF HORSE,Monticello Raceway & Mighty M Gaming,After Finish Line,Racing,Harness,Cold  Clear  Windy,Sweet Sounds,DOUGLAS A. GOSNEY,JASON D. RYAN,Silverhill Delight-Tr. Patti Harmon-fell unseating driver Jim Marohn-bike broke-horse ran loose into snowbank-trailered off-sustained 2 LH lacerations-vet checked and treated-no other injuries reported-driver resumed driving,Accident
2015,04/29/2015,EQUINE DEATH,Finger Lakes Gaming & Racetrack,Training track,Training,Thoroughbred,,Spider Bride,,,Spider Bride-Tr. Pablo Torres-pulled up during workout-exam revealed palpable R shoulder fx-euthanized,Equine Death
2015,04/29/2015,STEWARDS/VETS LIST,Belmont Park (NYRA),Stretch,Racing,Thoroughbred,,Childhood Dream,RODOLFO (RUDY) RODRIGUEZ,ANGEL CRUZ,Childhood Dream-Tr. Rudy Rodriguez-pulled up-ambulanced off-not in contention-no injuries,Steward's List
2015,04/30/2015,FALL OF RIDER,Belmont Park (NYRA),After Finish,Racing,Thoroughbred,58* Cloudy,Kelly's Prize,GARY J. SCIACCA,ERIC CANCEL,Kelly's Prize-Tr. Gary Sciacca-unseated rider Eric Cancel who was ambulanced off-no reported injury to horse-investigation continues,
2015,04/30/2015,STEWARDS/VETS LIST,Belmont Park (NYRA),,Racing,Thoroughbred,,El Grillo,JOHN T. TOSCANO JR,CORNELIO VELASQUEZ,El Grillo-Tr. John Toscano Jr.-pulled up-ambulanced off-Fx RF Cannon-sent for surgery,
2015,04/30/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,1/4 Pole,Racing,Harness,Sunny,South Park Kid,ROCCO A. VINCI,ROCK CHRISTOPHER VINCI,South Park Kid-Tr. Rock Vinci-pulled up-DNF-vet exam revealed arrhythmia with possible A-fib-scratched from race,Steward's List
2015,04/30/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Sunny,Miss Lucky S,JOHN R. CROSS *,KIM L. CRAWFORD,Miss Lucky S-Tr. John Cross requested vet exam before race that revealed LR lameness-scratched from race,Steward's List
2015,04/30/2015,STEWARDS/VETS LIST,Saratoga Gaming & Raceway,Before Race,Racing,Harness,Sunny,Tymal Breezee,ALEK R. CHARTRAND,ALEK R. CHARTRAND,Tymal Breezee-Tr. Alek Chartrand-Trainer requested exam before race-vet exam revealed swelling LF leg below knee-scratched from race,Steward's List
